label_file,class_id,x_center,y_center,width,height
image0033214.txt,7,0.499,0.499,0.999,0.999
image0007279.txt,6,0.499,0.499,0.999,0.999
image0037752.txt,3,0.499,0.499,0.999,0.999
image0038167.txt,1,0.499,0.499,0.999,0.999
ffhq_4909.txt,5,0.499,0.499,0.999,0.999
image0034804.txt,7,0.499,0.499,0.999,0.999
image0028181.txt,5,0.499,0.499,0.999,0.999
ffhq_4520.txt,7,0.499,0.499,0.999,0.999
image0002875.txt,6,0.499,0.499,0.999,0.999
image0040562.txt,1,0.499,0.499,0.999,0.999
ffhq_2808.txt,0,0.499,0.499,0.999,0.999
image0041992.txt,2,0.499,0.499,0.999,0.999
image0028178.txt,6,0.499,0.499,0.999,0.999
ffhq_2126.txt,5,0.499,0.499,0.999,0.999
image0032194.txt,7,0.499,0.499,0.999,0.999
ffhq_690.txt,5,0.499,0.499,0.999,0.999
image0022457.txt,6,0.499,0.499,0.999,0.999
image0034275.txt,7,0.499,0.499,0.999,0.999
image0025209.txt,7,0.499,0.499,0.999,0.999
image0007015.txt,7,0.499,0.499,0.999,0.999
image0038484.txt,3,0.499,0.499,0.999,0.999
image0018156.txt,0,0.499,0.499,0.999,0.999
image0033644.txt,7,0.499,0.499,0.999,0.999
image0039080.txt,3,0.499,0.499,0.999,0.999
image0008718.txt,3,0.499,0.499,0.999,0.999
ffhq_1416.txt,4,0.499,0.499,0.999,0.999
ffhq_4185.txt,4,0.499,0.499,0.999,0.999
image0031144.txt,3,0.499,0.499,0.999,0.999
image0005380.txt,0,0.499,0.499,0.999,0.999
image0040947.txt,2,0.499,0.499,0.999,0.999
ffhq_4395.txt,4,0.499,0.499,0.999,0.999
image0037215.txt,3,0.499,0.499,0.999,0.999
ffhq_3311.txt,4,0.499,0.499,0.999,0.999
image0036755.txt,1,0.499,0.499,0.999,0.999
ffhq_834.txt,4,0.499,0.499,0.999,0.999
image0042321.txt,1,0.499,0.499,0.999,0.999
image0028255.txt,0,0.499,0.499,0.999,0.999
image0026730.txt,3,0.499,0.499,0.999,0.999
ffhq_3269.txt,4,0.499,0.499,0.999,0.999
image0021708.txt,1,0.499,0.499,0.999,0.999
ffhq_1333.txt,5,0.499,0.499,0.999,0.999
image0018549.txt,3,0.499,0.499,0.999,0.999
image0019666.txt,6,0.499,0.499,0.999,0.999
image0033872.txt,7,0.499,0.499,0.999,0.999
image0029771.txt,3,0.499,0.499,0.999,0.999
ffhq_3929.txt,7,0.499,0.499,0.999,0.999
image0030893.txt,3,0.499,0.499,0.999,0.999
image0013058.txt,7,0.499,0.499,0.999,0.999
image0034887.txt,7,0.499,0.499,0.999,0.999
image0018483.txt,2,0.499,0.499,0.999,0.999
ffhq_1380.txt,1,0.499,0.499,0.999,0.999
ffhq_4997.txt,4,0.499,0.499,0.999,0.999
ffhq_716.txt,4,0.499,0.499,0.999,0.999
image0028378.txt,1,0.499,0.499,0.999,0.999
ffhq_1931.txt,4,0.499,0.499,0.999,0.999
ffhq_4077.txt,0,0.499,0.499,0.999,0.999
image0041945.txt,2,0.499,0.499,0.999,0.999
ffhq_4863.txt,2,0.499,0.499,0.999,0.999
image0042381.txt,2,0.499,0.499,0.999,0.999
ffhq_5061.txt,5,0.499,0.499,0.999,0.999
ffhq_4040.txt,4,0.499,0.499,0.999,0.999
ffhq_5360.txt,1,0.499,0.499,0.999,0.999
ffhq_1794.txt,6,0.499,0.499,0.999,0.999
image0014052.txt,6,0.499,0.499,0.999,0.999
image0035773.txt,2,0.499,0.499,0.999,0.999
image0027372.txt,3,0.499,0.499,0.999,0.999
